subject_id,slice_idx,type,n_features,mse,rmse,variance_explained,n_components,tumor_percentage
BraTS20_Training_040,55,original,4,3.570490837080017e-32,1.8895742475700756e-16,1.0,4,
BraTS20_Training_041,52,original,4,5.508301615359293e-33,7.421793324634749e-17,0.9999999999999999,4,
BraTS20_Training_042,85,original,4,4.186820584095041e-33,6.470564568949946e-17,0.9999999999999999,4,
BraTS20_Training_043,53,original,4,7.456630042160053e-32,2.730683072449099e-16,1.0,4,
BraTS20_Training_044,92,original,4,1.1680772835053419e-32,1.0807762411828555e-16,1.0,4,
BraTS20_Training_045,81,original,4,2.256173982073929e-32,1.502056584178482e-16,1.0,4,
BraTS20_Training_046,52,original,4,8.969273136651023e-33,9.470624655560489e-17,0.9999999999999999,4,
BraTS20_Training_047,76,original,4,1.567686803982834e-32,1.252073002657127e-16,0.9999999999999999,4,
BraTS20_Training_048,51,original,4,6.21408810577653e-33,7.882948753973052e-17,1.0,4,
BraTS20_Training_049,88,original,4,2.045396986913848e-32,1.4301737610912348e-16,1.0,4,
BraTS20_Training_050,57,original,4,6.841412125395272e-33,8.271282926726223e-17,0.9999999999999999,4,
BraTS20_Training_051,91,original,4,1.775284367899743e-32,1.3323979765444495e-16,0.9999999999999999,4,
BraTS20_Training_052,100,original,4,3.0313682243496606e-32,1.7410824863715276e-16,1.0,4,
BraTS20_Training_053,88,original,4,7.298777778538738e-32,2.701625025524219e-16,0.9999999999999998,4,
BraTS20_Training_054,65,original,4,2.4015032767694557e-32,1.5496784430227632e-16,1.0,4,
BraTS20_Training_055,70,original,4,5.198142022804503e-33,7.209814160437496e-17,1.0000000000000002,4,
BraTS20_Training_056,92,original,4,7.825299799905465e-33,8.846072461779558e-17,0.9999999999999999,4,
BraTS20_Training_057,108,original,4,4.427988791487248e-33,6.654313481860656e-17,0.9999999999999999,4,
BraTS20_Training_058,63,original,4,7.211426745329781e-32,2.6854099771412524e-16,0.9999999999999999,4,
BraTS20_Training_059,54,original,4,1.0230620111666012e-32,1.0114652792689432e-16,1.0000000000000002,4,
BraTS20_Training_060,65,original,4,2.5256918816903267e-32,1.5892425496727448e-16,0.9999999999999999,4,
BraTS20_Training_061,67,original,4,8.066306861409735e-33,8.981262083588105e-17,0.9999999999999999,4,
BraTS20_Training_062,92,original,4,9.980192067013387e-33,9.990091124215728e-17,1.0,4,
BraTS20_Training_063,86,original,4,2.658833858963927e-32,1.630593100366835e-16,1.0,4,
BraTS20_Training_064,60,original,4,5.249008488795866e-32,2.2910714717781867e-16,1.0000000000000002,4,
BraTS20_Training_065,68,original,4,1.9267784214340786e-32,1.3880844431928768e-16,1.0,4,
BraTS20_Training_066,87,original,4,5.786962653126294e-32,2.405610661168239e-16,1.0,4,
BraTS20_Training_067,97,original,4,5.876642732802206e-32,2.4241787749261e-16,1.0,4,
BraTS20_Training_068,75,original,4,1.2865876992599947e-32,1.1342784928138215e-16,1.0,4,
BraTS20_Training_069,96,original,4,9.1657486672995e-33,9.573791656026101e-17,0.9999999999999999,4,
BraTS20_Training_070,112,original,4,2.0168135369748746e-32,1.420145604145883e-16,1.0,4,
BraTS20_Training_071,93,original,4,4.8770579898266567e-32,2.208406210330576e-16,1.0,4,
BraTS20_Training_072,68,original,4,2.168779303331147e-32,1.472677596533317e-16,1.0,4,
BraTS20_Training_073,89,original,4,1.1158675825682406e-32,1.0563463364674678e-16,1.0,4,
BraTS20_Training_074,88,original,4,7.687148453282369e-33,8.767638480960748e-17,0.9999999999999999,4,
BraTS20_Training_075,79,original,4,2.605392228539155e-32,1.6141227427117043e-16,1.0,4,
BraTS20_Training_076,103,original,4,9.461513825249584e-32,3.0759573835229877e-16,1.0,4,
BraTS20_Training_077,69,original,4,6.035129957656058e-33,7.768609887010712e-17,0.9999999999999999,4,
BraTS20_Training_078,53,original,4,5.562076484412304e-33,7.457933014188518e-17,1.0000000000000002,4,
BraTS20_Training_079,114,original,4,2.0242633434421218e-32,1.4227660888010095e-16,1.0,4,
BraTS20_Training_080,68,original,4,7.81539325073425e-32,2.7956024843912e-16,1.0,4,
BraTS20_Training_081,97,original,4,8.478647351824144e-33,9.207957076259719e-17,1.0,4,
BraTS20_Training_082,72,original,4,1.3974087574923824e-32,1.1821204496549335e-16,0.9999999999999999,4,
BraTS20_Training_083,65,original,4,1.3875330039874746e-32,1.1779359082681343e-16,0.9999999999999999,4,
BraTS20_Training_084,55,original,4,5.407684006457253e-32,2.3254427549301775e-16,0.9999999999999999,4,
BraTS20_Training_085,100,original,4,2.2009495525703588e-32,1.4835597569934143e-16,1.0,4,
BraTS20_Training_086,55,original,4,2.2953280328814718e-32,1.515034003869706e-16,1.0,4,
BraTS20_Training_087,70,original,4,1.0605141164375711e-32,1.0298126608454428e-16,1.0,4,
BraTS20_Training_088,71,original,4,5.605979094280628e-32,2.3676948904537146e-16,1.0,4,
BraTS20_Training_089,50,original,4,1.928706430697362e-32,1.3887787551288947e-16,1.0,4,
BraTS20_Training_090,80,original,4,1.4743238713735352e-32,1.2142173904921372e-16,1.0000000000000002,4,
BraTS20_Training_091,92,original,4,7.205823947422312e-32,2.684366582160922e-16,1.0000000000000002,4,
BraTS20_Training_092,92,original,4,2.221365522455656e-32,1.4904246114633426e-16,0.9999999999999999,4,
BraTS20_Training_093,67,original,4,1.7184132150740315e-32,1.3108826091889508e-16,0.9999999999999999,4,
BraTS20_Training_094,55,original,4,3.706182026233973e-32,1.9251446767019805e-16,1.0000000000000002,4,
BraTS20_Training_095,93,original,4,8.631356354360872e-33,9.290509326382958e-17,1.0,4,
BraTS20_Training_096,84,original,4,4.6359192865875633e-32,2.1531185026810678e-16,0.9999999999999998,4,
BraTS20_Training_097,73,original,4,3.6450055627522805e-32,1.9091897660401076e-16,1.0,4,
BraTS20_Training_098,92,original,4,2.5909344190952743e-32,1.60963797765065e-16,1.0,4,
BraTS20_Training_099,49,original,4,2.903195152782493e-32,1.7038765074918115e-16,1.0000000000000002,4,
BraTS20_Training_100,83,original,4,3.6918337491649295e-32,1.9214145177875933e-16,1.0000000000000002,4,
BraTS20_Training_101,50,original,4,1.3310210687457602e-32,1.1536988639787075e-16,1.0,4,
BraTS20_Training_102,98,original,4,2.098461884317375e-32,1.448606877077896e-16,1.0000000000000002,4,
BraTS20_Training_103,68,original,4,6.638908416657831e-33,8.147949690970012e-17,0.9999999999999999,4,
BraTS20_Training_104,64,original,4,1.1594666365304601e-32,1.0767853251834649e-16,0.9999999999999999,4,
BraTS20_Training_105,50,original,4,2.471832495409807e-33,4.971752704439157e-17,1.0,4,
BraTS20_Training_106,93,original,4,4.5349335348953655e-32,2.129538338442247e-16,1.0,4,
BraTS20_Training_107,85,original,4,7.178877318673719e-33,8.472825572778964e-17,1.0,4,
BraTS20_Training_108,50,original,4,1.3197557894092106e-32,1.1488062453735227e-16,1.0,4,
BraTS20_Training_109,74,original,4,1.5641290886117845e-32,1.2506514656817e-16,0.9999999999999999,4,
BraTS20_Training_110,115,original,4,8.227715035605011e-33,9.070675297685951e-17,0.9999999999999998,4,
BraTS20_Training_111,59,original,4,8.510710624097933e-33,9.225351280085725e-17,1.0000000000000002,4,
BraTS20_Training_112,69,original,4,1.1595621881601741e-32,1.0768296932013781e-16,1.0000000000000002,4,
BraTS20_Training_113,71,original,4,1.5348804756741187e-32,1.2389029323050773e-16,0.9999999999999999,4,
BraTS20_Training_114,99,original,4,2.3581927109369605e-32,1.5356408144279574e-16,0.9999999999999999,4,
BraTS20_Training_115,101,original,4,1.1649118741138812e-32,1.0793108329456724e-16,1.0,4,
BraTS20_Training_116,67,original,4,2.5841811449587606e-32,1.6075388471072046e-16,1.0,4,
BraTS20_Training_117,68,original,4,1.2890208069561855e-32,1.1353505216258922e-16,1.0,4,
BraTS20_Training_118,85,original,4,1.9446886280724392e-32,1.3945209313855563e-16,1.0,4,
BraTS20_Training_119,57,original,4,1.2012899952568517e-32,1.0960337564403989e-16,1.0,4,
BraTS20_Training_120,103,original,4,1.9637722578650654e-32,1.4013465873455664e-16,1.0,4,
BraTS20_Training_121,86,original,4,8.59806116426252e-33,9.272573086399761e-17,1.0,4,
BraTS20_Training_122,84,original,4,2.762220684886374e-32,1.6619929858114247e-16,0.9999999999999999,4,
BraTS20_Training_123,68,original,4,2.3292922009882904e-33,4.826274133312664e-17,1.0,4,
BraTS20_Training_124,75,original,4,1.5956652301630694e-32,1.2631964337200565e-16,0.9999999999999999,4,
BraTS20_Training_125,92,original,4,1.0625228905708059e-32,1.0307875099024076e-16,1.0,4,
BraTS20_Training_126,89,original,4,1.2235193049315096e-32,1.1061280689556294e-16,0.9999999999999999,4,
BraTS20_Training_127,63,original,4,5.724274904276492e-33,7.5658938032968e-17,0.9999999999999999,4,
BraTS20_Training_128,86,original,4,3.490788707694005e-32,1.8683652500766559e-16,1.0,4,
BraTS20_Training_129,59,original,4,2.670538914818427e-32,1.6341783607729076e-16,1.0,4,
BraTS20_Training_130,63,original,4,6.696194089229873e-33,8.183027611605544e-17,1.0,4,
BraTS20_Training_131,104,original,4,1.8982733683969922e-32,1.3777784177424874e-16,1.0,4,
BraTS20_Training_132,85,original,4,1.7346866276236872e-32,1.3170750273327968e-16,1.0,4,
